name,horse_id,father,father_id,mother,mother_id,grand_father_1,grand_father_1_id,grand_father_2,grand_father_2_id,grand_mother_1,grand_mother_1_id,grand_mother_2,grand_mother_2_id
クリノビバーチェ,2021102043,アスカクリチャン,2007104599,クリノカッシミー,2014101533,スターリングローズ,1997106560,ハービンジャーHarbinger(英),000a011996,ローレルワルツ,1996101458,プレギエーラ,2002100481
ランプシー,2020102973,ハーツクライ,2001103038,ノッテビアンカNotteBianca(仏),000a013870,サンデーサイレンスSundaySilence(米),000a00033a,Kendargent,000a0126fd,アイリッシュダンス,1990104626,Biancarosa,000a0136fd
フラミニア,2020103682,モーリス,2011100655,リミニ,2014106143,スクリーンヒーロー,2004103328,ディープインパクト,2002100816,メジロフランシス,2001102948,ポルトフィーノ,2005102483
マリネロ,2019100777,ゴールドシップ,2009102739,マイネヴォヤージ,2009110016,ステイゴールド,1994108729,Teofilo,000a01139e,ポイントフラッグ,1998106155,Hambye,000a010585
レッドバレンティア,2020106413,リオンディーズ,2013105915,レッドマジュール,2012104859,キングカメハメハ,2001103460,ディープインパクト,2002100816,シーザリオ,2002100844,マンダララMandalara(愛),000a010ebb
コスモエクスプレス,2019100702,エイシンヒカリ,2011101273,ルヴェソンヴェール,2011105135,ディープインパクト,2002100816,クロフネ,1998110135,キャタリナ,000a00b4d3,フェートデュヴァン,2000101506
ヴィスパメンテ,2019104528,ドゥラメンテ,2012104511,ヴァリディオル,2009106431,キングカメハメハ,2001103460,Dynaformer,000a001dd9,アドマイヤグルーヴ,2000107542,ヴァレラ,000a011479
マーベラスムーン,2018105352,ドリームジャーニー,2004102753,ルナレガーロ,2010104077,ステイゴールド,1994108729,アドマイヤムーン,2003102991,オリエンタルアート,1997103540,カーリーエンジェル,1990104543
アルヴィエンヌ,2020103225,ダイワメジャー,2001103114,アルルArles(仏),000a014352,サンデーサイレンスSundaySilence(米),000a00033a,Monsun,000a010db6,スカーレットブーケ,1988107320,AttacheedePresse,000a0142b5
ヴィルチュオーズ,2019105105,サトノアラジン,2011104063,エセンテペ,000a012fc2,ディープインパクト,2002100816,Oratorio,000a010d4e,マジックストームMagicStorm(米),000a01116e,Mythie,000a0128a9
スーパーマン,2020100956,シルバーステート,2013105903,アマノチェリーラン,2004103791,ディープインパクト,2002100816,デザートキングDesertKing(愛),000a0000e7,シルヴァースカヤSilverskaya(米),000a0117fe,ニキトートNickitoto(英),000a006602
バラードインミラノ,2018110112,ダノンバラード,2008103548,Epica,000a01533c,ディープインパクト,2002100816,ExcellentArt,000a012379,レディバラード,1997110261,VanillaLoan,000a01533b
アンバーホーク,2020104754,デクラレーションオブウォー,000a0136f6,ダイワデッセー,2009104150,WarFront,000a011d00,スペシャルウィーク,1995103211,TempoWest,000a01370f,ダイワエンジェル,2000102683
サクセスパルス,2020101126,エピファネイア,2010104155,サクセスフィリア,2011103428,シンボリクリスエス,1999110099,ディープインパクト,2002100816,シーザリオ,2002100844,リアルエクスペクテイションズRealExpectations(米),000a01115c
モンテイゾラ,2020103612,イスラボニータ,2011103565,ポルケテスエーニョPorQueTeSueno(米),000a0137a3,フジキセキ,1992109618,Medagliad'Oro,000a010a65,イスラコジーンIslaCozzene(米),000a011566,ミスエーニョMiSueno(米),000a0124cc
セイウンシリウス,2020106546,グレーターロンドン,2012101402,カナエチャン,2008101997,ディープインパクト,2002100816,マンハッタンカフェ,1998101554,ロンドンブリッジ,1995102745,ザミルTheMill(米),000a00fecc
マイネルデステリョ,2017101746,エイシンフラッシュ,2007102951,クインズメンテ,2012100558,キングズベストKing'sBest(米),000a0022d2,ゼンノロブロイ,2000101517,ムーンレディMoonlady(独),000a010eb7,ラークホイッスルLarkwhistle(加),000a006841
チュウワスプリング,2020102391,リアルスティール,2012104889,チュウワグルーヴ,2014106020,ディープインパクト,2002100816,ルーラーシップ,2007103143,ラヴズオンリーミーLovesOnlyMe(米),000a01179f,チュウワブロッサム,2007103003
